"""KEY"""KEY:0TXTSH;"""SOCIEDAD"""0COMP_CODE:0COMP_CODE;"""CLASE DOCUMENTO VENTA"""0DOC_TYPE:0DOC_TYPE;"""CENTRO"""0PLANT:0PLANT;"""ORGANIZACION DE VENTA"""0SALES_ORG:0SALESORG;"""SOLICITANTE"""0SOLD_TO:0SOLD_TO;"""NOMBRE SOLICITANTE"""1TXTMD:0TXTMD;"""RUT SOLICITANTE"""RUT_SOLD_TO:0TAX_NUMB;"""DESTINATARIO DE MERCANCIA"""0SHIP_TO:0SHIP_TO;"""RUT DESTINATARIO DE MERCANCIA"""RUT_0SHIP_TO:0TAX_NUMB;"""DOCUMENTO VENTA"""0DOC_NUMBER:0DOC_NUMBER;"""POSICION DOC. VENTA"""0S_ORD_ITEM:0S_ORD_ITEM;"""FECHA DOCUMENTO PEDIDO"""0CALDAY:0CALDAY;"""MATERIAL"""0MATERIAL:0MATERIAL;"""DESCRIPCION MATERIAL"""DESCRIPTION:0TXTLG;"""ESPECIE MATERIAL"""ZMAT_SPEC:ZMAT_SPEC;"""ENTREGA"""0DELIV_NUMB:0DELIV_NUMB;"""FACTURA"""0BILL_NUM:0BILL_NUM;"""CENTRO DE BENEFICIO"""0PROFIT_CTR:0PROFIT_CTR;"""PEDIDO CLIENTE"""0PO_NUMBER:0PO_NUMBER;"""CLIENTE FACTURA"""CLIENTE_FACTURA:/BIC/OF_CHAR_000010_00;"""CANTIDAD PEDIDO"""CANTIDAD_PEDIDO:0QUANT_B;"""CANTIDAD ENTREGA"""CANTIDAD_ENTREGA:4ZV_SD11-0QUANT_B_0;"""CANTIDAD FACTURA"""CANTIDAD_FACTURA:4ZV_SD11-0QUANT_B_1;"""VALOR PEDIDO MD"""VALOR_PEDIDO_MD:0NET_VALUE;"""VALOR PEDIDO ME"""VALOR_PEDIDO_ME:0NET_VAL_S;"""VALOR NETRO FACTURA ME"""VALOR_NETRO_FACTURA_ME:4ZV_SD11-0NET_VAL_S_0;"""VALOR NETO FACTURA MD"""VALOR_NETO_FACTURA_MD:4ZV_SD11-0NETVAL_INV;"""PESO BRUTO PEDIDO"""PESO_BRUTO_PEDIDO:0GR_WT_KG;"""PESO NETO PEDIDO"""PESO_NETO_PEDIDO:0NT_WT_KG;"""PESO BRUTO ENTREGA"""PESO_BRUTO_ENTREGA:4ZV_SD11-0GR_WT_KG_0;"""PESO NETO ENTREGA"""PESO_NETO_ENTREGA:4ZV_SD11-0NT_WT_KG_0;"""PRECIO MD"""PRECIO_MD:0COST;"""PRECIO ME"""PRECIO_ME:0COST_VAL_S;"""TIPO DE CAMBIO"""TIPO_DE_CAMBIO:0EXCHG_RATE;"""DESTINATARIO DE FACTURA"""0BILLTOPRTY:0BILLTOPRTY;"""CANAL DE DISTRIBUCIÓN"""0DISTR_CHAN:0DISTR_CHAN;"""NOMBRE DEST. MERCANCIA """0SHIP_TO_NAME:0TXTMD;"""NOMBRE DEST. FACTURA"""0BILLTOPRTY_NAME:0TXTMD;"""VALOR UNITARIO"""VALOR_UNITARIO:FLOAT
0430000460000010;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000460;000010;20230403;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAAROR0001;FACTURADECOMPRA11;99524450-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;3397018.00 ;4288.19 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;3.3970180000000000E+06
0430000443000020;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000443;000020;20230221;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAAROR0001;FACTURADECOMPRA11;99524450-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;16485474.00 ;20798.71 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;1.6485474000000000E+07
0430000443000010;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000443;000010;20230221;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAARMC0001;FACTURADECOMPRA11;99524450-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;601369.00 ;758.71 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;6.0136900000000000E+05
0430000442000020;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000442;000020;20230221;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAAROR0001;FACTURADECOMPRA11;99524450-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;2564086.00 ;3234.95 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;2.5640860000000000E+06
0430000442000010;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000442;000010;20230221;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAARMC0001;FACTURADECOMPRA11;99524450-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;1223885.00 ;1544.10 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;1.2238850000000000E+06
0430000417000020;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000417;000020;20230130;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAAROR0001;FACTURADECOMPRA11;99524450-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;8789967.00 ;10663.17 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;8.7899670000000000E+06
0430000417000010;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000417;000010;20230130;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAARMC0001;FACTURADECOMPRA11;99524450-0;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;6501791.00 ;7887.36 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;6.5017910000000000E+06
0430000411000010;VN01;S107;HS15;VN01;;VITAFOODS SPA;;77180654-6;77180654-6;0430000411;000010;20230110;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAAROR0001;FACTURADECOMPRA53;77180654-6;5590.880 ;0.0000000000000000E+00;0.0000000000000000E+00;6245013.00 ;7265.78 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;77180654-6;01;;VITAFOODS SPA;1.1170000000000000E+03
0430000404000010;VN01;S107;HS15;VN01;;HORTIFRUT CHILE S A;;99524450-0;99524450-0;0430000404;000010;20230109;AR_EMBALA_ORG_HSJF;ARANDANO EMBALADO ORGANICO HSJF;ARANDANO;;;CAAROR0001;FACTURADECOMPRA11;99524450-0;598.400 ;0.0000000000000000E+00;0.0000000000000000E+00;1536440.00 ;1795.20 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;99524450-0;01;;HORTIFRUT CHILE S A;2.5680000000000000E+03
0420001271000040;VN01;S106;HN10;VN01;;AGRICOLA CHALACO S.A.;;77080860-K;77080860-K;0420001271;000040;20240607;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;PICT010000;SERVMOFEBAMAY24;77080860-K;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;643710.00 ;701.22 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;77080860-K;01;;AGRICOLA CHALACO S.A.;6.4371000000000000E+05
0420001271000030;VN01;S106;HN10;VN01;;AGRICOLA CHALACO S.A.;;77080860-K;77080860-K;0420001271;000030;20240607;ADMINIST_AFECTO;SERVICIOS ADMINISTRATIVOS AFECTO;;;;PICT010000;SERVMOFEBAMAY24;77080860-K;1.000 ;0.0000000000000000E+00;0.0000000000000000E+00;646218.00 ;703.96 ;0.0000000000000000E+00;0.0000000000000000E+00;0.000 ;0.000 ;0.0000000000000000E+00;0.0000000000000000E+00;0.00 ;0.00 ;0.0000000000000000E+00;77080860-K;01;;AGRICOLA CHALACO S.A.;6.4621800000000000E+05
